rank,prev_rank,name,league,off,def,spi
408,410,VVV Venlo,Dutch Eredivisie,1.12,1.64,34.04
409,417,Shenzhen FC,Chinese Super League,1.04,1.55,34.03
410,434,Western Sydney FC,Australian A-League,1.32,1.91,33.92
411,412,Minnesota United FC,Major League Soccer,1.3,1.89,33.84
412,404,FC Ingolstadt 04,German 2. Bundesliga,1.03,1.55,33.83
413,402,Lens,French Ligue 2,0.85,1.31,33.82
414,437,Stromsgodset,Norwegian Tippeligaen,1.28,1.86,33.76
415,418,Adelaide United,Australian A-League,1.02,1.54,33.76
416,373,Consadole Sapporo,Japanese J League,1.19,1.76,33.73
417,413,Feirense,Portuguese Liga,0.9,1.38,33.7
418,407,Palermo,Italy Serie B,0.97,1.47,33.59
419,389,Shimizu S-Pulse,Japanese J League,1.34,1.96,33.48
420,427,Lecce,Italy Serie B,1.02,1.54,33.47
421,444,SV Darmstadt 98,German 2. Bundesliga,1.06,1.61,33.36
422,455,Shonan Bellmare,Japanese J League,0.99,1.52,33.33
423,421,Haugesund,Norwegian Tippeligaen,1.08,1.64,33.25
424,430,Metallurg Krasnoyarsk,Russian Premier Liga,1.02,1.57,33.22
425,425,KSC Lokeren,Belgian Jupiler League,1.05,1.6,33.19
426,409,De Graafschap,Dutch Eredivisie,1.19,1.78,33.18
427,426,Paraná,Brasileiro Série A,0.86,1.35,33.17
428,438,Wuhan Zall,Chinese Super League,1.01,1.56,33.03
429,429,Kaizer Chiefs,South African ABSA Premier League,0.84,1.34,32.98
430,442,Chicago Fire,Major League Soccer,1.11,1.7,32.88
431,419,Almeria,Spanish Segunda Division,0.75,1.21,32.87
432,424,VfL Bochum,German 2. Bundesliga,1.06,1.64,32.84
433,385,Hartberg,Austrian T-Mobile Bundesliga,1.41,2.08,32.82
434,432,OFI Crete,Greek Super League,0.91,1.45,32.56
435,431,Charlton Athletic,English League One,0.83,1.34,32.5
436,422,Arizona United,United Soccer League,1.29,1.96,32.47
437,406,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,1.03,1.62,32.34
438,441,Guizhou Hengfeng Zhicheng,Chinese Super League,1.07,1.68,32.23
439,447,Orlando City SC,Major League Soccer,1.15,1.79,32.21
440,436,Sonderjyske,Danish SAS-Ligaen,0.93,1.51,31.98
441,445,Fortuna Sittard,Dutch Eredivisie,1.46,2.21,31.97
442,443,Real Oviedo,Spanish Segunda Division,0.79,1.31,31.9
443,478,Motherwell,Scottish Premiership,0.94,1.52,31.86
444,456,Perugia,Italy Serie B,1.02,1.64,31.85
445,462,Dynamo Dresden,German 2. Bundesliga,0.99,1.6,31.79
446,440,1. FC Heidenheim 1846,German 2. Bundesliga,0.98,1.59,31.75
447,420,FC Cincinnati,Major League Soccer,1.0,1.62,31.72
448,446,Cercle Brugge,Belgian Jupiler League,1.2,1.88,31.72
449,449,Bidvest Wits,South African ABSA Premier League,1.0,1.62,31.59
450,451,Lorient,French Ligue 2,0.92,1.52,31.51
451,415,Kristiansund BK,Norwegian Tippeligaen,1.12,1.79,31.51
452,448,Cittadella,Italy Serie B,0.94,1.55,31.5
453,458,SV Sandhausen,German 2. Bundesliga,0.91,1.51,31.45
454,474,Valenciennes,French Ligue 2,1.21,1.92,31.35
455,454,Spezia,Italy Serie B,1.0,1.65,31.11
456,452,Verona,Italy Serie B,0.92,1.55,31.06
457,471,Valerenga,Norwegian Tippeligaen,1.04,1.71,30.93
458,450,Vancouver Whitecaps,Major League Soccer,1.19,1.92,30.9
459,435,Las Palmas,Spanish Segunda Division,0.86,1.47,30.85
460,463,Benevento,Italy Serie B,0.85,1.45,30.84
461,459,FC St. Pauli,German 2. Bundesliga,1.0,1.67,30.78
462,460,Esbjerg,Danish SAS-Ligaen,0.94,1.6,30.5
463,464,Le Havre,French Ligue 2,0.89,1.53,30.49
464,466,Grasshoppers Zürich,Swiss Raiffeisen Super League,0.95,1.62,30.48
465,479,Odd BK,Norwegian Tippeligaen,1.01,1.7,30.45
466,469,1. FC Magdeburg,German 2. Bundesliga,0.88,1.52,30.44
467,518,Doncaster Rovers,English League One,1.11,1.84,30.36
468,472,Wellington Phoenix,Australian A-League,1.13,1.87,30.35
469,477,Elche,Spanish Segunda Division,0.86,1.5,30.33
470,428,Anzhi Makhachkala,Russian Premier Liga,0.82,1.44,30.24
471,439,Louisville City FC,United Soccer League,1.17,1.93,30.17
472,467,AC Horsens,Danish SAS-Ligaen,1.0,1.71,30.07
473,461,Panionios,Greek Super League,0.83,1.47,29.97
474,468,Burton Albion,English League One,0.93,1.61,29.93
475,481,Tenerife,Spanish Segunda Division,0.88,1.55,29.92
476,470,Nashville SC,United Soccer League,0.91,1.6,29.8
477,475,Crotone,Italy Serie B,0.92,1.61,29.65
478,496,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,0.8,1.45,29.51
479,473,Polokwane City FC,South African ABSA Premier League,0.89,1.59,29.33
480,502,Real Zaragoza,Spanish Segunda Division,0.82,1.51,29.06
481,510,Bodo/Glimt,Norwegian Tippeligaen,0.88,1.6,29.04
482,521,Helsingborgs IF,Swedish Allsvenskan,0.98,1.75,28.86
483,476,Sagan Tosu,Japanese J League,0.67,1.31,28.76
484,465,Orléans,French Ligue 2,1.05,1.86,28.73
485,500,Numancia,Spanish Segunda Division,0.9,1.65,28.57
486,457,Sacramento Republic FC,United Soccer League,0.94,1.72,28.45
487,492,Oklahoma City Energy FC,United Soccer League,1.11,1.96,28.38
488,499,Rayo Majadahonda,Spanish Segunda Division,0.96,1.76,28.15
489,480,Veracruz,Mexican Primera Division Torneo Clausura,0.86,1.64,27.93
490,505,Hearts,Scottish Premiership,0.8,1.55,27.83
491,483,Indy Eleven,United Soccer League,0.99,1.83,27.68
492,494,Hobro IK,Danish SAS-Ligaen,0.88,1.68,27.64
493,485,Excelsior,Dutch Eredivisie,1.06,1.95,27.57
494,503,Cosenza,Italy Serie B,0.75,1.52,27.1
495,519,Tromso,Norwegian Tippeligaen,1.0,1.89,26.93
496,501,IF Elfsborg,Swedish Allsvenskan,0.87,1.71,26.91
497,491,Stabaek,Norwegian Tippeligaen,0.98,1.88,26.79
498,509,Reno 1868 FC,United Soccer League,0.97,1.87,26.63
499,507,Grenoble,French Ligue 2,0.8,1.63,26.41
500,482,Tampa Bay Rowdies,United Soccer League,0.81,1.64,26.37
